Title,Company,Skills,Region,City
it specialist  males only,confidential,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",nasr city,cairo
aspnet core  dot net backend developer  internship,alexandria for programming,"installationmaintenancerepair, aspnet, design, web api, mvc, mysql, github, software development, information technology it",bolkly,alexandria
junior full stack developer,yodawy med,"java, males only, computer science, telecommunication, full stack, react js, iti, programming, information technology it, startup",mohandessin,giza
senior net developer,national technology,"ms sql, tfs, git, devexpress, aspnet, computer science, winforms, desktop development, mvc, information technology it",nasr city,cairo
backend team lead,ejawdah,"information technology it, backend developer, code, computer science, software development, mobile apps, software engineering, web",nasr city,cairo
it technician,egypt education platform,"autocad 2d, males preferred, computer engineering, computer science, cam, it, 3d, information technology it, 3d cad",rehab city,cairo
production support,jobworld,"factory, furniture, wood, decor, manufacturingproduction, production",No Region,cairo
it presales engineer,connectra,"computer engineering, computer science, presales, sales skills, software development, software engineering",No Region,cairo
oracle developer,national technology,"oracle plsql, java se, computer science, oracle forms, oracle sql, plsql, software development, information technology it, pl",nasr city,cairo
software developer,evision,"java, computer science, net, telecom, angular, mysql, software development, information technology it, software engineering",new cairo,cairo
odoo developer,jessour misr,"english, engineering, computer science, postgresql, odoo, django, xpath, software development, information technology it, api",abu rawash,giza
applications support specialist,finbi finance  banking consultants international,"java, apis, net, communication, python, sql",dokki,giza
senior backend developer nodejs,txg,"git, backend developer, oop, computer science, mysql, software development, information technology it, software engineering, php",No Region,cairo
system administrator,partner  more,"ms project, engineering, cad drawing, microsoft office, networks, network administration, repair, information technology it",6th of october,giza
senior frontend developer react,txg,"css3, restful, bootstrap, design, computer science, ajax, javascript, software development, information technology it",No Region,cairo
senior frontend angular developer,ultimate solutions egypt,"frontend, html, computer science, css, jquery, nodejs, python, software development, information technology it, web development",victoria,alexandria
senior software tester,ultimate solutions egypt,"itsoftware development, automation, computer science, qa, qc, quality control, information technology it, quality assurance",sheikh zayed,giza
senior net core developer,ultimate solutions egypt,"computer engineering, computer science, aspnet, jquery, javascript, mvc, software development, software engineering",abu qir,alexandria
senior ui angular developer,ultimate solutions egypt,"git, engineering, computer science, jquery, javascript, angular, telecom, software development, information technology it",sheikh zayed,giza
senior full stack developer,ultimate solutions egypt,"ms asp, programmer, computer science, apis, web applications, xml, mvc, css, information technology it, software engineering",sheikh zayed,giza
software tester,naba soft,"computer science, qa, qc, quality control, appium, selenium, information technology it, software testing, quality assurance",nasr city,cairo
technical it specialist,suez canal container terminal,"english, network engineering, computer engineering, computer science, router  switching, networking, cctv",port fuad port,said
software engineer  website back end,confidential,"information technology it, backend developer, code, computer science, software development, mobile apps, software engineering, web",maadi,cairo
oracle developer,pachin for paints,"oracle plsql, java se, computer science, oracle forms, oracle sql, plsql, software development, information technology it, pl",obour city,cairo
python team lead  ai  python engineering,softec technologies,"git, html, linux, computer science, postgresql, css, odoo modules, python, software development, information technology it",No Region,cairo
it systems administrator,k line europe,"engineering, vmware, computer science, mcse, installation, windows server, information technology it, system administration, vcpdcv",No Region,cairo
product owner,blue holding,"agile, computer science, software development, business, product owner, information technology it, software engineering",bab sharq,alexandria
it help desk,creative motion,"communication skills, computer science, mcsa, installation, ccna, information technology it, itsoftware development",maadi,cairo
applications support specialist,erada,"java, apis, net, communication, python, sql",maadi,cairo
ai solutions architect,get ai driven,"systems administration, computer literacy, troubleshooting",No Region,cairo
web development project coordinator,road9 media,"project manager, communication skills, computer science, design, information technology it, itsoftware development, web development",maadi,cairo
business analyst,etqan consultancy,"excel, analytical skills, analystresearch",No Region,cairo
is specialist,emeco travel,"sales target, english, communication skills, management, arabic, software, information technology it, planning, customer service",downtown,cairo
front end developer,telecom systems provider llc,"uiux, css3, git, computer science, html5, react native, javascript, ui, angular, python, ionic, information technology it",maadi,cairo
backend developer,telecom systems provider llc,"agile, computer science, docker, nodejs, mongodb, typescript based api, software development, information technology it, php",maadi,cairo
service desk lead,elsewedy industries,"maintenance, computer science, mcsa, mcse, repair, installation, microsoft office, ccna, information technology it, help desk",10th of ramadan city,cairo
senior oracle developer,icis,"oracle plsql, engineering, computer science, oracle developer, erp, software development, information technology it",new cairo,cairo
senior automation qc engineer,bitechnologies,"testing, java, computer science, qa, qc, web applications, quality control, information technology it, quality assurance",new cairo,cairo
full stack developer net core  angular,bitechnologies,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",new cairo,cairo
web developer,itida,"html, engineering, computer science, css, software development, itsoftware development, web development",smart village,giza
flutter developer,confidential,"json, computer engineering, computer science, mobile developer, app store, code versioning tools, flutter, information technology it",hadayek alkobba,cairo
software engineer,specialized seamless services,"agile, computer science, docker, nodejs, mongodb, typescript based api, software development, information technology it, php",No Region,cairo
oracle apps dba,nile sugar,"database administration, oracle rac, males only, linux, computer science, dba, software developer, information technology it",agouza,giza
oracle apps developer,nile sugar,"database administration, oracle rac, males only, linux, computer science, dba, software developer, information technology it",ameria,alexandria
senior it engineer,icon holding,"english, salesretail, computer science, software, sales skills, marketing, b2b sales, itsoftware development",maadi,cairo
